Jurisdiction,County,Government Type,Subject,Ballot Measure Text,Election Results,Yes %,No %,Election Month,Election Year,Duration in Years Levy/Fee,Amount of Levy (Per $1000 A/V),Tax Amount,Bond Amount,Funding Type/Statutory Authority
Adams County Cemetery District No. 3 - Lind Cemetery District No.3,Adams,Cemetery District,Cemetery,Excess levy ($0.16) for cemetery maintenance and operation.,Passed,64.97,35.33,November,2012,1,0.16,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Adams County Fire Protection District No. 4 - Harder/McCall,Adams,Fire Protection District,Fire,"Fire district excess levy (1 year, $0.66) for construction, maintenance, and operation of pumper equipment.",Passed,100,0,November,2017,1,0.66,,,Fire District Excess Levy (RCW 84.52.130)
Adams County Fire Protection District No. 4 - Harder/McCall,Adams,Fire Protection District,Fire,"Excess levy ($1.35) for construction, maintenance, and operation of pumper equipment.",Passed,72.73,27.27,November,2016,1,1.35,,,Fire District Excess Levy (RCW 84.52.130)
Adams County Fire Protection District No. 4 - Harder/McCall,Adams,Fire Protection District,Fire,"Fire district excess levy (1 year, $1.35) for construction of pumper equipment.",Passed,100,0,November,2015,1,1.35,,,Fire District Excess Levy (RCW 84.52.130)
Adams County Fire Protection District No. 4 - Harder/McCall,Adams,Fire Protection District,Fire,"Fire district excess levy (1 year, $1.35) for pumper equipment construction.",Passed,100,0,November,2014,1,1.35,,,Fire District Excess Levy (RCW 84.52.130)
Adams County Fire Protection District No. 4 - Harder/McCall,Adams,Fire Protection District,Fire,"Excess fire district levy (1 year, $1.35) for construction of pumper equipment.",Passed,100,0,November,2013,1,1.35,,,Fire District Excess Levy (RCW 84.52.130)
Adams County Fire Protection District No. 4 - Harder/McCall,Adams,Fire Protection District,Fire,"Excess fire district levy (1 year, $1.35) for construction of pumper equipment.",Passed,100,0,November,2012,1,1.35,,,Fire District Excess Levy (RCW 84.52.130)
Adams County Fire Protection District No. 7 - Washtucna,Adams,Fire Protection District,Fire,"Fire district excess levy (2 years, $0.43) for updating fire trucks and related equipment.",Passed,96.08,3.92,August,2015,2,0.43,,,Fire District Excess Levy (RCW 84.52.130)
Adams County Fire Protection District No. 7 - Washtucna,Adams,Fire Protection District,Fire,"Fire district excess levy (2 years, $0.47) for maintenance and operation.",Passed,89.29,10.71,August,2013,2,0.47,,,Fire District Excess Levy (RCW 84.52.130)
Adams County Park and Recreation District 2 - Washtucna Park and Recreation District,Adams,Park District,Parks and Recreation,Excess levy ($0.73) for swimming pool maintenance and operation.,Passed,61.48,38.52,August,2016,1,0.73,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Adams County Park and Recreation District 2 - Washtucna Park and Recreation District,Adams,Park District,Parks and Recreation,Excess levy ($1.08) for swimming pool maintenance and operation.,Passed,68.5,31.5,August,2013,1,1.08,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Adams County Park and Recreation District 2 - Washtucna Park and Recreation District,Adams,Park District,Parks and Recreation,Excess levy ($1.11) for maintenance and operation of swimming pool.,Failed,56.76,43.24,November,2012,1,1.11,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Adams County Park and Recreation District 3 - Lind Park and Recreation District No.3,Adams,Park District,Parks and Recreation,Excess levy ($0.24) for swimming pool maintenance and operation.,Passed,69.35,30.65,August,2017,1,0.24,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Adams County Park and Recreation District 3 - Lind Park and Recreation District No.3,Adams,Park District,Parks and Recreation,Excess levy ($0.24) for swimming pool maintenance and operation.,Passed,64.59,35.41,August,2016,1,0.24,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Adams County Park and Recreation District 3 - Lind Park and Recreation District No.3,Adams,Park District,Parks and Recreation,Excess levy ($0.25) for swimming pool maintenance and operation.,Passed,73.57,26.43,August,2015,1,0.25,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Adams County Park and Recreation District 3 - Lind Park and Recreation District No.3,Adams,Park District,Parks and Recreation,Excess levy ($0.24) for swimming pool maintenance and operation.,Passed,66.09,33.91,August,2014,1,0.24,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Adams County Park and Recreation District 3 - Lind Park and Recreation District No.3,Adams,Park District,Parks and Recreation,Excess levy ($0.25) for swimming pool maintenance and operation.,Passed,70.85,29.15,August,2013,1,0.25,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Adams County Park and Recreation District 3 - Lind Park and Recreation District No.3,Adams,Park District,Parks and Recreation,Excess levy ($0.26) for swimming pool maintenance and operation.,Passed,60.22,39.78,August,2012,1,0.26,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Adams County Park and Recreation District No. 2 - Washtucna Park and Recreation District,Adams,Park District,Parks and Recreation,Excess levy ($0.50) for swimming pool maintenance and operation.,Passed,64.22,35.78,November,2017,1,0.5,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Adams County Park and Recreation District No. 2 - Washtucna Park and Recreation District,Adams,Park District,Parks and Recreation,Excess levy ($1.08) for maintenance and operation of Washtucna swimming pool.,Passed,64.41,35.59,August,2015,1,1.08,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Adams County Park and Recreation District No. 2 - Washtucna Park and Recreation District,Adams,Park District,Parks and Recreation,Excess levy ($1.08) for swimming pool maintenance and operation.,Passed,64.17,35.83,August,2014,1,1.08,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Adams County Park and Recreation District No. 2 - Washtucna Park and Recreation District,Adams,Park District,Parks and Recreation,Excess levy ($1.11) for swimming pool maintenance and operation.,Failed,57.25,42.7,August,2012,1,1.11,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Adams County Park and Recreation District No. 4 - Ritzville Park and Recreation District No.4,Adams,Park District,Parks and Recreation,Excess levy ($0.34) for water park/swimming pool maintenance and operation.,Passed,71.41,28.59,August,2017,1,0.34,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Adams County Park and Recreation District No. 4 - Ritzville Park and Recreation District No.4,Adams,Park District,Parks and Recreation,Excess levy ($0.23) for swimming pool resurfacing.,Passed,72.69,27.31,February,2017,1,0.23,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Adams County Park and Recreation District No. 4 - Ritzville Park and Recreation District No.4,Adams,Park District,Parks and Recreation,Excess levy ($0.34) for swimming pool/water park maintenance and operation.,Passed,66.99,33.01,August,2016,1,0.34,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Adams County Park and Recreation District No. 4 - Ritzville Park and Recreation District No.4,Adams,Park District,Parks and Recreation,Excess levy ($0.35) for maintenance and operation of Ritzville Water Park/swimming pool.,Passed,69.53,30.47,August,2015,1,0.35,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Adams County Park and Recreation District No. 4 - Ritzville Park and Recreation District No.4,Adams,Park District,Parks and Recreation,Excess levy ($0.28) for swimming pool/water park operation and maintenance.,Passed,70.77,29.23,August,2014,1,0.28,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Adams County Park and Recreation District No. 4 - Ritzville Park and Recreation District No.4,Adams,Park District,Parks and Recreation,Excess levy ($0.29) for swimming pool/water park maintenance and operation.,Passed,66.67,33.33,August,2013,1,0.29,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Adams County Park and Recreation District No. 4 - Ritzville Park and Recreation District No.4,Adams,Park District,Parks and Recreation,Excess levy ($0.31) for swimming pool/water park maintenance and operation.,Passed,65.22,34.78,August,2012,1,0.31,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Adams County Public Hospital District No. 2 - East Adams Rural Hospital,Adams,Public Hospital District,EMS,"Initial EMS levy (6 years, $0.36).",Passed,64.78,35.22,April,2016,6,0.36,,,EMS Levy (RCW 84.52.069)
Adams County Public Hospital District No. 2 - East Adams Rural Hospital,Adams,Public Hospital District,Hospital,"Bonds (30 years, $6.4 million) for hospital and clinic renovation and modernization.",Passed,61.43,38.57,November,2014,30,,,"6,400,000",Bond (RCW 84.52.056)
Adams County Public Hospital District No. 2 - East Adams Rural Hospital,Adams,Public Hospital District,Hospital,"Bonds (30 years, $10 million) to build a new hospital, replacing an existing hospital.",Failed,47.03,52.97,August,2013,30,,,"10,000,000",Bond (RCW 84.52.056)
Adams County Public Hospital District No. 3,Adams,Public Hospital District,EMS,"EMS levy renewal (6 years, $0.40).",Passed,84.17,15.83,August,2017,6,0.4,,,EMS Levy (RCW 84.52.069)
Adams County Road District,Adams,County,Transportation,"Single-year levy lid lift (to $2.25, permanent) for county road fund.",Failed,39.15,60.85,November,2017,"1, permanent",2.25,,,Levy Lid Lift (RCW 84.55.050)
Airway Heights,Spokane,City,Parks and Recreation,"Bonds (30 years, $13 million) for aquatic and fitness center.",Passed,61.12,38.88,August,2016,30,,,"13,000,000",Bond (RCW 84.52.056)
Airway Heights,Spokane,City,EMS,"Initial EMS levy (6 years, $0.25).",Passed,65.74,34.26,November,2015,6,0.25,,,EMS Levy (RCW 84.52.069)
Airway Heights,Spokane,City,EMS,"Initial EMS levy (6 years, $0.25).",Failed,57.13,42.87,November,2014,6,0.25,,,EMS Levy (RCW 84.52.069)
Airway Heights Transportation Benefit District,Spokane,Transportation Benefit District,Transportation,"TBD sales tax (10 years, 0.2%) for transportation improvements.",Passed,52.27,47.73,November,2013,10,,0.002,,Transportation Benefit District Sales Tax (RCW 82.14.0455)
Albion,Whitman,City,Transportation,Excess levy ($0.98) for street maintenance and repair.,Passed,67.91,32.09,November,2015,15,0.98,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Albion,Whitman,City,EMS,"Initial EMS levy (6 years, $0.50).",Passed,61.64,38.36,November,2011,6,0.5,,,EMS Levy (RCW 84.52.069)
Anderson Island Park and Recreation District,Pierce,Park District,Parks and Recreation,"Park and recreation district regular levy (6 years, $0.50) to continue to maintain and operate park and recreation facilities.",Passed,65.64,34.36,August,2017,6,0.5,,,Park and Recreation District Regular Levy (RCW 36.69.145)
Arlington,Snohomish,City,"Criminal Justice, Parks and Recreation, Other","Single-year levy lid lift (increase of $0.58 to $1.96, permanent) to retain essential city services including police, parks, playgrounds, economic development, and maintenance and operation of city facilities.",Passed,52.65,47.35,April,2014,Single-year (permanent),1.96,,,Levy Lid Lift (RCW 84.55.050)
Arlington Transportation Benefit District,Snohomish,Transportation Benefit District,Transportation,"TBD sales tax (10 years, 0.2%) for repairing and improving roads that are in failing or near failing condition.",Passed,64.81,35.19,August,2013,10,,0.002,,Transportation Benefit District Sales Tax (RCW 82.14.0455)
Asotin,Asotin,City,"Criminal Justice, Fire, Parks and Recreation, Transportation, Other","Multi-year levy lid lift (to $3.15, 6 years/permanent) to retain basic fire, police, parks, streets, and city facilities. Limit factor: annual CPI increase.",Failed,32.93,67.07,November,2017,"6, permanent",3.15,,,Levy Lid Lift (RCW 84.55.050)
Asotin,Asotin,City,"Transportation, Other",Excess levy ($0.50) for general operations and street improvements.,Failed,44.09,55.91,November,2016,1,0.5,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Asotin,Asotin,City,Transportation,Excess levy ($0.50) for street maintenance and improvements.,Failed,38.99,61.01,November,2015,1,0.5,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Asotin,Asotin,City,EMS,"Initial EMS levy (6 years, $0.50).",Passed,67.49,32.51,November,2012,6,0.5,,,EMS Levy (RCW 84.52.069)
Asotin,Asotin,City,EMS,Excess levy ($0.40) for emergency medical services.,Passed,70.3,29.7,November,2011,1,0.4,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Asotin County,Asotin,County,Government Organization,Creation of a board of freeholders to frame a consolidated city/county charter.,Failed,35.63,64.37,November,2013,,,,,N/A
Asotin County,Asotin,County,Government Organization,Creation of a board of freeholders to draft a county charter.,Failed,37.64,62.36,November,2012,,,,,N/A
Asotin County Fire Protection District No. 1 - Clarkston,Asotin,Fire Protection District,"Fire, EMS","Single-year levy lid lift (to $1.06, permanent) to maintain and improve fire protection and emergency medical services.",Passed,69.14,30.86,November,2017,"1, permanent",1.06,,,Levy Lid Lift (RCW 84.55.050)
Asotin County Fire Protection District No. 1 - Clarkston,Asotin,Fire Protection District,EMS,Permanent EMS levy ($0.50).,Passed,72.3,27.7,August,2016,Permanent,0.5,,,EMS Levy (RCW 84.52.069)
Asotin County Fire Protection District No. 1 - Clarkston,Asotin,Fire Protection District,EMS,"Initial EMS levy (6 years, $0.50).",Passed,66.55,33.45,November,2011,6,0.5,,,EMS Levy (RCW 84.52.069)
Asotin County Public Facilities District,Asotin,Public Facilities District,Parks and Recreation,PFD sales tax (0.2%) to support swimming pool/aquatic center.,Passed,66.54,33.46,November,2013,,,0.002,,Public Facilities District Sales Tax (RCW 82.14.048)
Asotin County Public Transportation Benefit Area,Asotin,Public Transportation Benefit Area,Transportation,"Transit sales tax renewal (0.2%) for operations, maintenance, and capital needs.",Passed,80.31,19.69,November,2014,,,0.002,,Transit Sales Tax (RCW 82.14.045)
Auburn Transportation Benefit District,"King, Pierce",Transportation Benefit District,Transportation,"Bonds (25 years, $59 million) to finance TBD transportation improvements.",Failed,50.25,49.75,April,2012,6,,,"59,000,000",Bond (RCW 84.52.056)
Bainbridge Island,Kitsap,City,Criminal Justice,"Bonds (10 years, $15 million) for a new public safety facility, including police and municipal court.",Failed,24.48,75.52,November,2015,20,,,"15,000,000",Bond (RCW 84.52.056)
Bainbridge Island Fire Department - Kitsap County Fire Protection District No. 2,Kitsap,Fire Protection District,"Fire, EMS","Multi-year levy lid lift (to $0.95, 6 years/permanent) for fire and EMS. Limit factor: annual CPI increase or 1%, whichever is greater.",Passed,72.78,27.22,February,2015,Multi-year (6 years/permanent),0.95,,,Levy Lid Lift (RCW 84.55.050)
Bainbridge Island Fire Department - Kitsap County Fire Protection District No. 2,Kitsap,Fire Protection District,Fire,"Bonds (20 years, $16 million) to rebuild two fire stations and renovate a third, acquire capital equipment, and upgrade communication and information systems.",Passed,63.51,36.49,February,2015,20,,,"16,000,000",Bond (RCW 84.52.056)
Bainbridge Island Metropolitan Park & Recreation District,Kitsap,Park District,Parks and Recreation,"Bonds (20 years, $5.9 million) to purchase and develop a new park.",Passed,69.63,30.37,February,2015,20,,,"5,900,000",Bond (RCW 84.52.056)
Bellevue,King,City,Fire,"Single-year levy lid lift (increase of $0.125 to $1.255, 20 years) for fire improvements, including seismic retrofits, new fire station, and logistics warehouse space.",Passed,56.98,43.02,November,2016,Single-year (20 years),0.125,,,Levy Lid Lift (RCW 84.55.050)
Bellevue,King,City,Transportation,"Single-year levy lid lift (increase of $0.15 to $1.28, 20 years) for neighborhood transportation improvements.",Passed,54.13,45.87,November,2016,Single-year (20 years),0.15,,,Levy Lid Lift (RCW 84.55.050)
Bellingham,Whatcom,City,Parks and Recreation,"Single-year levy lid lift (increase of $0.50 to $2.40, 7 years) for development, acquisition, and maintenance of greenways, parks, trails, and open space.",Passed,69.73,30.27,November,2016,Single-year (7 years),0.5,,,Levy Lid Lift (RCW 84.55.050)
Bellingham,Whatcom,City,Affordable Housing,"7-year affordable housing levy ($0.24) and single-year levy lid lift (increase of $0.12 to $2.62) for low-income housing assistance, including people with disabilities, veterans, seniors, and families with children.",Passed,56.59,43.41,November,2012,7,0.36,,,"Affordable Housing Regular Levy (RCW 84.52.105), Levy Lid Lift (RCW 84.55.050)"
Bellingham,Whatcom,City,Other,"Initiative to remove all automated traffic safety cameras and prohibit the installation of such cameras to issue tickets unless approved by city council and a majority of voters, and limiting the penalty to the lowest parking ticket fine. <em>The WA Court of Appeals declared this initiative to be invalid, so it was not legally binding.</em>",Advisory,67.68,32.32,November,2011,,,,,N/A
Benton City,Benton,City,Other,"Advisory vote to allow marijuana production, processing, and retail sales. <em>(Voters narrowly favored marijuana businesses, and after the vote city council adopted an ordinance allowing these businesses.)</em>",Advisory,52.62,47.38,November,2016,,,,,N/A
Benton County,Benton,County,Parks and Recreation,"Advisory vote on whether the county should create a conservation futures fund funded by a 10-year, $0.06 property tax.",Advisory,47.45,52.55,November,2014,10,0.0625,,,N/A
Benton County,Benton,County,Criminal Justice,"Public safety sales tax (10 years, 0.3%) for gang and crime prevention, including extra police and corrections officers, extra prosecutors, a drug task force, and drug and mental health court programs.",Passed,52.69,47.31,August,2014,10,,0.003,,Public Safety Sales Tax (RCW 82.14.450)
Benton County Fire Protection District No. 1,Benton,Fire Protection District,Fire,"Multi-year levy lid lift (to $1.50, 6 years/permanent) for fire district maintenance, operations, and capital facilities. Limit factor: 6% annually.",Passed,52.94,47.06,November,2013,Multi-year (6 years/permanent),,,,Levy Lid Lift (RCW 84.55.050)
Benton County Fire Protection District No. 2 - Benton City,Benton,Fire Protection District,Fire,"Bonds (15 years, $1.53 million) for firefighting vehicles and gear.",Passed,79.85,20.15,August,2016,15,,,"1,525,000",Bond (RCW 84.52.056)
Benton County Fire Protection District No. 2 - Benton City,Benton,Fire Protection District,Fire,"Multi-year levy lid lift (to $1.50, 6 years). Limit factor: 8% annually.",Passed,67.76,32.24,August,2013,Multi-year (6 years),1.5,,,Levy Lid Lift (RCW 84.55.050)
Benton County Fire Protection District No. 2 - Benton City,Benton,Fire Protection District,EMS,"EMS levy renewal (10 years, $0.50).",Passed,81.12,18.88,August,2012,10,0.5,,,EMS Levy (RCW 84.52.069)
Benton County Fire Protection District No. 3,Benton,Fire Protection District,Fire,Dissolving the fire protection district following the formation of the West Benton Regional Fire Authority.,Passed,73.84,26.16,November,2015,,,,,N/A
Benton County Fire Protection District No. 4 - West Richland,Benton,Fire Protection District,EMS,Permanent EMS levy ($0.50).,Passed,72.32,27.68,August,2016,Permanent,0.5,,,EMS Levy (RCW 84.52.069)
Benton County Fire Protection District No. 4 - West Richland,Benton,Fire Protection District,Fire,"Multi-year levy lid lift (to $1.50, 6 years/permanent) to maintain fire district operations. Limit factor: 9% annually.",Passed,54.95,45.05,August,2014,Multi-year (6 years/permanent),1.5,,,Levy Lid Lift (RCW 84.55.050)
Benton County Fire Protection District No. 6 - Plymouth/Patterson,Benton,Fire Protection District,"Fire, EMS","Single-year levy lid lift (to $1.27, permanent) for fire and EMS operations, staffing, and equipment.",Passed,54.17,45.83,November,2015,Single-year (permanent),1.27,,,Levy Lid Lift (RCW 84.55.050)
Benton County Fire Protection District No. 6 - Plymouth/Patterson,Benton,Fire Protection District,EMS,"Initial EMS levy (6 years, $0.50).",Failed,33.6,66.39,August,2012,6,0.5,,,EMS Levy (RCW 84.52.069)
Black Diamond,King,City,Government Organization,Changing form of government from mayor-council to council-manager.,Failed,40.76,59.24,November,2012,,,,,N/A
Blaine,Whatcom,City,Transportation,"TBD sales tax (10 years, 0.2%) for transportation improvement program, including streets, sidewalks, and trail improvements.",Passed,71.7,28.3,April,2017,10,,0.002,,Transportation Benefit District Sales Tax (RCW 82.14.0455)
Blaine,Whatcom,City,Other,Changing the city's name to Blaine Harbor.,Failed,33.8,66.2,November,2014,,,,,N/A
Blaine-Birch Bay Park and Recreation District No. 2,Whatcom,Park District,Parks and Recreation,"Park and recreation district regular levy (6 years, $0.10) for staffing, operations, programs, maintenance, and capital improvements.",Passed,71.18,28.82,November,2017,6,0.1,,,Park and Recreation District Regular Levy (RCW 36.69.145)
Bonney Lake,Pierce,City,Other,Advisory vote to allow marijuana retail sales in commercially zoned areas. <em>(Voters supported the existing marijuana ban.)</em>,Advisory,37.7,62.3,November,2017,,,,,N/A
Bonney Lake,Pierce,Park District,Parks and Recreation,"Forming a new metropolitan park district, governed by city council ex officio.",Failed,20.5,79.5,April,2013,,,,,Metropolitan Park District Formation (Ch. 35.61 RCW)
Bothell,"King, Snohomish",City,Other,"Advisory vote to ban sale, possession, and discharge of consumer fireworks. <em>(Voters narrowly opposed a ban.)</em>",Advisory,47.8,52.2,November,2016,,,,,N/A
Bothell,"King, Snohomish",City,Transportation,"Single-year levy lid lift (increase of $0.50, 9 years) for street maintenance and pedestrian safety improvements.",Passed,54.12,45.88,November,2016,Single-year (9 years),0.5,,,Levy Lid Lift (RCW 84.55.050)
Bothell,"King, Snohomish",City,Parks and Recreation,"Bonds (25 years, $42 million) for acquiring and developing new parks, recreational opportunities, public spaces, and pedestrian enhancements.",Failed,47.69,52.31,November,2014,25,,,"42,000,000",Bond (RCW 84.52.056)
Bothell,"King, Snohomish",City,Annexation,"Annexation of the North, East, and West of Bothell Annexation Area. (Earlier attempt failed in November 2011.)",Failed,44.95,55.05,April,2012,,,,,N/A
Bothell,"King, Snohomish",City,Annexation,"Annexation of North, East, and West of Bothell Annexation Area.",Failed,47.14,52.86,November,2011,,,,,N/A
Bothell Urban EMS District,Snohomish,Emergency Medical Services District,EMS,"EMS levy renewal (6 years, $0.34). <em>(Only applies to Snohomish County portion.)</em>",Passed,69.81,30.19,November,2017,6,0.335,,,EMS Levy (RCW 84.52.069)
Bremerton,Kitsap,City,"Fire, EMS","Bonds (11 years, $4.5 million) for fire and EMS equipment and facilities.",Passed,70.99,29.01,November,2015,11,,,"4,500,000",Bond (RCW 84.52.056)
Bremerton,Kitsap,City,EMS,"EMS levy renewal (6 years, $0.50).",Passed,75.03,24.97,August,2014,6,0.5,,,EMS Levy (RCW 84.52.069)
Bremerton,Kitsap,City,Government Organization,City charter amendment allowing city council to hold a special meeting outside city limits but within the county and updating language to reflect a previously approved reduction in council size.,Failed,47.3,52.7,November,2013,,,,,N/A
Bremerton,Kitsap,City,Government Organization,City charter amendment decreasing number of city councilmembers from 9 to 7.,Passed,70.18,29.82,November,2011,,,,,N/A
Brewster,Okanogan,City,Criminal Justice,Public safety sales tax (0.1%) for criminal justice purposes.,Failed,37.42,62.58,November,2017,,,0.001,,Public Safety Sales Tax (RCW 82.14.450)
Brewster,Okanogan,City,EMS,"Initial EMS levy (6 years, $0.47).",Passed,77.84,22.16,April,2014,6,,0.47,,EMS Levy (RCW 84.52.069)
Brewster,Okanogan,City,Criminal Justice,Public safety sales tax (0.1%) for criminal justice purposes.,Failed,37.56,62.44,November,2013,,,0.001,,Public Safety Sales Tax (RCW 82.14.450)
Brier,Snohomish,City,Other,"Advisory vote on whether to ban the sale and discharge of all fireworks. <em>(Voters narrowly supported a ban, which city council then enacted.)</em>",Advisory,53.85,46.15,November,2015,,,,,N/A
Brier,Snohomish,City,Annexation,Referendum on whether to approve the annexation of the 16-acre Allview Heights area.,Passed,53.85,46.15,November,2012,,,,,N/A
Buckley,Pierce,City,EMS,Permanent EMS levy ($0.50).,Passed,68.77,31.23,August,2016,Permanent,0.5,,,EMS Levy (RCW 84.52.069)
Buckley,Pierce,City,Other,Accepting a bid from Puget Sound Energy to purchase the city's gas utility.,Passed,86,14,November,2013,,,,,N/A
Burien,King,City,Annexation,Annexation of North Highline Area Y unincorporated area.,Failed,35.03,64.97,November,2012,,,,,N/A
Camano Island Library Capital Facilities Area,Island,Library District,Library,"Bonds (10 years, $2.3 million) for a new library. <em>(Identical measure failed in the preceding primary election with 58%.)</em>",Passed,62.11,37.89,April,2014,10,,,"2,300,000",Bond (RCW 84.52.056)
Camano Island Library Capital Facilities Area,Island,Library District,Library,Forming a new library capital facility area on Camano Island. <em>(A corresponding bond measure for a new library narrowly failed.)</em>,Passed,60.88,39.12,August,2013,,,,,N/A
Camano Island Library Capital Facilities Area,Island,Library District,Library,"Bonds (10 years, $2.3 million) for a new library. <em>(Identical measure passed in special election the following April.)</em>",Failed,58.71,41.29,August,2013,10,,,"2,300,000",Bond (RCW 84.52.056)
Camas,Clark,City,EMS,"Initial EMS levy (6 years, $0.46).",Passed,55.7,44.22,August,2012,6,0.46,,,EMS Levy (RCW 84.52.069)
Carbonado,Pierce,City,EMS,"EMS levy (6 years, $0.50), replacing the existing permanent EMS levy.",Passed,68.95,31.05,November,2014,6,0.5,,,EMS Levy (RCW 84.52.069)
Carnation,King,City,Criminal Justice,"Single-year levy lid lift (to $1.84, permanent) for police services.",Failed,47.62,52.38,November,2014,Single-year (permanent),1.83925,,,Levy Lid Lift (RCW 84.55.050)
